"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"FDR"
"Transcript_100790.0"	0.777738805840149	0.0497841536044394	1.50569345807586	25.3527626752804	4.66407106029188	0.00023702349988719	0.999762976500113
"Transcript_100801.0"	1.45405650596358	0.149352460813318	2.75876055111385	17.3750724462138	4.11894708812353	8.13409046713787e-05	0.999918659095329
"Transcript_100810.0"	2.59178452851727	0.433031315800953	4.75053774123358	10.7453752623041	3.42564396198172	7.43109121561503e-05	0.999925689087844
"Transcript_100861.0"	6.44992988064361	11.0829180516852	1.81694170960204	0.164694420448234	-2.6021364149173	0.0176612021417296	0.98233879785827
"Transcript_100873.0"	7.92184842432949	13.767186706236	2.07651014242295	0.15144674939177	-2.72311748200136	0.000134636123174214	0.999865363876826
"Transcript_100875.0"	1.19303025038503	0.0995683072088788	2.28649219356119	20.9594567266902	4.38952941730339	0.000100941853243941	0.999899058146756
"Transcript_100876.0"	2.2108479937818	2.91112792327165	1.51056806429195	0.520541415587482	-0.941915142341192	0.0220813640599096	0.97791863594009
"Transcript_100892.0"	1.90129891000234	3.08226055527409	0.720337264730598	0.23618231765268	-2.08202713688264	0.0111955527476606	0.988804447252339
"Transcript_100909.0"	0.444793035516108	0.139047395808615	0.7505386752236	5.1026632910794	2.35125044589318	0.0491523948527305	0.95084760514727
"Transcript_100925.0"	2.03657191297945	1.51195298679157	2.56119083916733	1.68940227555101	0.756512899388617	0.0166223691925769	0.983377630807423
"Transcript_100932.0"	2.1128104711668	3.77681702611232	0.448803916221282	0.121158195143193	-3.04503610287088	0.00466140971805162	0.995338590281948
"Transcript_100937.0"	0.561509532666637	1.04067251624565	0.0823465490876208	0.0878927997637179	-3.50811120609719	0.0113227776216422	0.988677222378358
"Transcript_100949.0"	4.06457784706903	1.2319709020082	6.89718479212986	5.56147070834051	2.47546644824666	2.14967280582901e-05	0.999978503271942
"Transcript_100953.0"	0.567860537799212	0.106389212003164	1.02933186359526	8.92979551719112	3.15862713954449	0.0177034763288818	0.982296523671118
"Transcript_100954.0"	2.3627663226148	4.27698211689264	0.448550528336958	0.106963480563649	-3.22480977866079	2.206682260808e-06	0.999997793317739
"Transcript_100992.0"	14.956744764362	9.14362575771104	20.7698637710131	2.27012380897351	1.18277098197488	0.000338509124600983	0.999661490875399
"Transcript_100994.0"	0.973883266787806	1.75542199805221	0.192344535523407	0.114615392663428	-3.12512728615075	0.0143131398518777	0.985686860148122
"Transcript_100996.0"	1.16907318437522	2.11755288287185	0.220593485878594	0.108384373302782	-3.20577132882033	0.000308556665868931	0.999691443334131
"Transcript_101002.0"	1.58617607717979	2.92344731222749	0.248904842132096	0.088259584909844	-3.50210322752674	0.0122874663839176	0.987712533616082
"Transcript_101009.0"	2.80587165298278	1.51945852691951	4.09228477904606	2.68218111628597	1.42340665959336	0.000117855631943331	0.999882144368057
