"id"	"packs"
"Transcript_224314.0"	"EBSeq,edgeR,DESeq2"
"Transcript_224941.0"	"EBSeq,edgeR,DESeq2"
"Transcript_225118.0"	"EBSeq,edgeR,DESeq2"
"Transcript_225244.0"	"DESeq,edgeR,DESeq2"
"Transcript_225316.0"	"EBSeq,edgeR,DESeq2"
"Transcript_22551.0"	"EBSeq,edgeR,DESeq2"
"Transcript_226028.0"	"EBSeq,edgeR,DESeq2"
"Transcript_226260.0"	"DESeq,edgeR,DESeq2"
"Transcript_226506.0"	"EBSeq,edgeR,DESeq2"
"Transcript_226697.0"	"EBSeq,edgeR,DESeq2"
"Transcript_227155.0"	"EBSeq,edgeR,DESeq2"
"Transcript_227264.0"	"EBSeq,edgeR,DESeq2"
"Transcript_228415.0"	"EBSeq,edgeR,DESeq2"
"Transcript_228500.0"	"EBSeq,edgeR,DESeq2"
"Transcript_228538.0"	"DESeq,edgeR,DESeq2"
"Transcript_228598.0"	"EBSeq,edgeR,DESeq2"
"Transcript_228799.0"	"DESeq,edgeR,DESeq2"
"Transcript_228873.0"	"DESeq,edgeR,DESeq2"
"Transcript_229254.0"	"EBSeq,edgeR,DESeq2"
"Transcript_229584.0"	"DESeq,edgeR,DESeq2"
"Transcript_229620.0"	"EBSeq,edgeR,DESeq2"
"Transcript_229829.0"	"EBSeq,edgeR,DESeq2"
"Transcript_230517.0"	"EBSeq,edgeR,DESeq2"
"Transcript_231628.0"	"EBSeq,edgeR,DESeq2"
"Transcript_231661.0"	"EBSeq,edgeR,DESeq2"
"Transcript_232428.0"	"DESeq,edgeR,DESeq2"
"Transcript_232906.0"	"EBSeq,edgeR,DESeq2"
"Transcript_233448.0"	"EBSeq,edgeR,DESeq2"
"Transcript_233740.0"	"EBSeq,edgeR,DESeq2"
"Transcript_233766.0"	"EBSeq,edgeR,DESeq2"
"Transcript_233831.0"	"DESeq,edgeR,DESeq2"
"Transcript_23422.0"	"EBSeq,edgeR,DESeq2"
