Name	Classification	Specific_Tissue	Sex_Expression	Diff_Sex	log2_FC	Involved_in_Maturation	Involved_in_Growth
Transcript_40856.0	Tissue Specific	Brain	Male			False	False
Transcript_27308.0	Others					False	False
Transcript_38406.0	Others				0.9349885331664819	False	False
Transcript_49741.0	Others					False	False
Transcript_273059.0	Tissue Specific	Brain	Female			False	False
Transcript_92958.0	Others					False	False
Transcript_34328.0	Tissue Specific	Brain				False	False
Transcript_125754.0	Others				0.04064175230629467	False	False
Transcript_27304.0	Others					False	False
Transcript_27299.0	Others					False	False
Transcript_272986.0	Others					False	True
Transcript_96324.0	Tissue Specific	Gonad	Female			False	True
Transcript_21225.0	Others				1.184329168884589	False	False
Transcript_272950.0	Others					False	False
Transcript_20464.0	Others				0.23944703438870077	False	False
Transcript_272866.0	Others					False	False
Transcript_23575.0	Others				0.26340181919861205	False	False
Transcript_272850.0	Tissue Specific	Brain	Male			False	False
Transcript_89954.0	Others			Male	inf	False	False
Transcript_243939.0	Others					False	False
Transcript_41077.0	Tissue Specific	Gonad	Female			False	True
Transcript_272829.0	Others					False	False
Transcript_272823.0	Others					False	False
Transcript_272815.0	Tissue Specific	Brain				False	False
Transcript_272798.0	Others					False	False
Transcript_235498.0	Tissue Specific	Brain				False	False
Transcript_272777.0	Others					False	False
Transcript_61554.0	Tissue Specific	Brain	Male			False	True
Transcript_272772.0	Tissue Specific	Muscle				False	False
Transcript_272770.0	Others					False	False
Transcript_99861.0	Others					False	False
Transcript_27274.0	Others					False	False
Transcript_272739.0	Others					False	False
Transcript_46372.0	Others				0.011335937513847438	False	False
Transcript_272722.0	Tissue Specific	Brain	Female		0.0010841978200988084	False	False
Transcript_272721.0	Others				0.9640814794733126	False	False
Transcript_272717.0	Others					False	False
Transcript_56387.0	Others					False	False
Transcript_94469.0	Others					False	True
Transcript_262299.0	Tissue Specific	Skin	Male			False	True
Transcript_273455.0	Others					False	False
Transcript_60445.0	Tissue Specific	Brain	Female			False	False
Transcript_72016.0	Others					False	True
Transcript_202919.0	Others					False	False
Transcript_272663.0	Others				2.1610615552369996	False	False
Transcript_12794.0	Others				1.235614568106618	False	False
Transcript_272659.0	Others					False	False
Transcript_229822.0	Tissue Specific	Gonad	Female			False	False
Transcript_105280.0	Tissue Specific	Skin	Female		1.8397298008830016	False	False
Transcript_274595.0	Tissue Specific	Kidney	Male			False	False
Transcript_272648.0	Others				0.4239625597798888	False	False
Transcript_272640.0	Tissue Specific	Brain				False	False
Transcript_27564.0	Others					False	False
Transcript_136620.0	Others				1.0105359180602953	False	False
Transcript_58150.0	Tissue Specific	Gonad	Male			False	True
Transcript_272631.0	Tissue Specific	Brain				False	False
Transcript_240377.0	Others				0.5212575777509788	False	False
Transcript_272605.0	Others				0.14878670215779502	False	True
Transcript_272571.0	Others				0.7404284987012408	False	False
Transcript_62735.0	Others					False	False
Transcript_27256.0	Tissue Specific	Skin	Female			False	False
Transcript_272559.0	Others					False	False
Transcript_272532.0	Others			Male	3.416806388451443	False	False
Transcript_57774.0	Others					False	False
Transcript_272516.0	Others					False	True
Transcript_202854.0	Tissue Specific	Brain	Male			False	False
Transcript_272503.0	Others				1.3102555102488376	False	False
Transcript_273566.0	Tissue Specific	Skin	Female	Female	3.234183331818837	False	False
Transcript_35238.0	Tissue Specific	Gonad	Female			False	True
Transcript_272494.0	Others					False	True
Transcript_272482.0	Others					False	True
Transcript_225470.0	Others					False	False
Transcript_61224.0	Others					False	True
Transcript_272466.0	Tissue Specific	Skin			2.186294412164925	False	False
Transcript_272453.0	Tissue Specific	Gonad	Female			False	False
Transcript_272432.0	Others				0.25386338167460176	False	False
Transcript_233196.0	Tissue Specific	Brain				False	False
Transcript_31428.0	Tissue Specific	Gonad	Female			False	True
Transcript_273958.0	Others				0.8910410684715853	False	False
Transcript_222265.0	Tissue Specific	Brain	Female		1.0635170033628618	False	False
Transcript_272423.0	Others				0.4417409963554431	False	False
Transcript_27242.0	Others					False	False
Transcript_50096.0	Others					False	False
Transcript_272403.0	Others					False	False
Transcript_199811.0	Others				0.606471221445258	False	False
Transcript_28365.0	Tissue Specific	Skin	Male			False	False
Transcript_50461.0	Tissue Specific	Kidney				False	False
Transcript_225344.0	Others				1.0686375345085237	False	False
Transcript_117585.0	Others				0.5446850047983541	False	True
Transcript_96928.0	Others					False	True
Transcript_272391.0	Others					False	False
Transcript_34192.0	Others					False	False
Transcript_272390.0	Tissue Specific	Gonad	Female			False	True
Transcript_272371.0	Others				0.14055585741993623	False	False
Transcript_272370.0	Others				1.0729343157720364	False	False
Transcript_272358.0	Tissue Specific	Gonad	Female			False	True
Transcript_71595.0	Others					False	False
Transcript_230514.0	Others					False	False
Transcript_198513.0	Others				1.4627467639717053	False	False
Transcript_272341.0	Others					False	False
Transcript_258998.0	Others					False	False
Transcript_47397.0	Others					False	False
Transcript_92202.0	Others					False	False
Transcript_272339.0	Tissue Specific	Gonad	Female			False	True
Transcript_142127.0	Others				0.8086735396490589	False	False
Transcript_18800.0	Others				0.33574308683337806	False	False
Transcript_27233.0	Others				0.14981135668525608	False	False
Transcript_251520.0	Others					False	False
Transcript_272300.0	Others					False	False
Transcript_32711.0	Others					False	False
Transcript_272273.0	Tissue Specific	Lung	Male			False	False
Transcript_97649.0	Others					False	False
Transcript_272270.0	Others					False	False
Transcript_116363.0	Tissue Specific	Gonad	Female			False	False
Transcript_272265.0	Others					False	False
Transcript_272253.0	Tissue Specific	Liver	Female	Female	3.9961599692413463	False	False
Transcript_101737.0	Others				1.3312247999967872	False	False
Transcript_50173.0	Others					False	True
Transcript_203577.0	Others				0.5606065959052219	False	False
Transcript_272236.0	Expressed in All				0.3743976559339886	False	False
Transcript_272217.0	Others					False	False
Transcript_272211.0	Others					False	False
Transcript_272196.0	Tissue Specific	Heart				False	False
Transcript_32849.0	Others					False	False
Transcript_272187.0	Others				0.3773013463511754	False	False
Transcript_219317.0	Others				1.5951079143328426	False	False
Transcript_272162.0	Tissue Specific	Brain				False	False
Transcript_272156.0	Tissue Specific	Gonad	Female			False	True
Transcript_76127.0	Others					False	False
Transcript_27215.0	Others				0.4916061505413755	False	False
Transcript_162098.0	Tissue Specific	Gonad	Female			False	True
Transcript_58262.0	Tissue Specific	Skin	Male		1.8628078838733044	False	False
Transcript_272142.0	Others				0.03232198326217028	False	False
Transcript_270813.0	Others					False	False
Transcript_27212.0	Others				0.0049539389582964975	False	False
Transcript_272114.0	Others				0.5208080730793021	False	False
Transcript_49283.0	Others					False	False
Transcript_272110.0	Others					False	True
Transcript_27211.0	Tissue Specific	Gonad	Male			False	False
Transcript_256181.0	Others					False	False
Transcript_272106.0	Tissue Specific	Lung				False	False
Transcript_239449.0	Others					False	False
Transcript_94416.0	Tissue Specific	Brain	Female			False	False
Transcript_272092.0	Others					False	False
Transcript_246756.0	Others					False	False
Transcript_58160.0	Tissue Specific	Brain				False	False
Transcript_190986.0	Tissue Specific	Brain				False	False
Transcript_272078.0	Others				0.8070409747520767	False	False
Transcript_272056.0	Tissue Specific	Brain	Male			False	False
Transcript_246084.0	Tissue Specific	Brain	Male			False	False
Transcript_272046.0	Tissue Specific	Brain	Male			False	False
Transcript_272038.0	Tissue Specific	Brain				False	False
Transcript_254729.0	Others					False	False
Transcript_87086.0	Others					False	False
Transcript_272029.0	Others					False	True
Transcript_170976.0	Others					False	False
Transcript_187945.0	Others				1.4870712348336232	False	False
Transcript_255733.0	Others					False	True
Transcript_271988.0	Others					False	False
Transcript_271984.0	Tissue Specific	Brain				False	False
