"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"Transcript_140086.0"	1.04520215867098	2.09040431734196	0	0	-Inf	0.0218677284517451	0.414588360637064
"Transcript_140240.0"	0.254090203600156	0.0411827101322704	0.466997697068042	11.3396543250345	3.5033047571111	0.0217301054483617	0.4127804372343
"Transcript_140749.0"	0.402939656062233	0.805879312124466	0	0	-Inf	0.0339570328163103	0.518081238505966
"Transcript_140782.0"	0.459095426240974	0.868406691438778	0.0497841610431695	0.0573281637900406	-4.12461211924033	0.0362435043142177	0.535797141955605
"Transcript_140962.0"	0.472319568975181	0.0411827101322704	0.903456427818092	21.937760407617	4.45534434561729	0.0224074124049677	0.421817918970742
"Transcript_141275.0"	0.497555901950469	0	0.995111803900938	Inf	Inf	0.0191640020834125	0.411952104390899
"Transcript_141394.0"	0.370473420048807	0.0521543238180335	0.68879251627958	13.2068151948969	3.72321069951246	0.00322629528731464	0.211248442935433
"Transcript_141415.0"	0.196152959783381	0.288516812217923	0.103789107348839	0.359733308263661	-1.47500034786318	0.0394412872634705	0.554443026792109
"Transcript_141482.0"	0.144258406108961	0.288516812217923	0	0	-Inf	0.00765772126290295	0.314575828482099
"Transcript_141583.0"	0.132991842788537	0	0.265983685577075	Inf	Inf	0.0417189053594828	0.554443026792109
"Transcript_141969.0"	0.427419087365046	0	0.854838174730092	Inf	Inf	0.0057819935344422	0.273034959794828
"Transcript_142217.0"	0.812945780520092	1.62589156104018	0	0	-Inf	0.0270805141245306	0.439604512112394
"Transcript_142397.0"	0.135345640676091	0	0.270691281352182	Inf	Inf	0.0417189053941652	0.554443026792109
"Transcript_142558.0"	0.67093165348829	1.34186330697658	0	0	-Inf	0.0329138714543656	0.505588124500323
"Transcript_142646.0"	0.284841328756475	0.465893550164111	0.103789107348839	0.222774295356266	-2.16634531688363	0.0231550520324528	0.425617728026466
"Transcript_142677.0"	0.539398225188	1.02559971326059	0.0531967371154149	0.0518689079448862	-4.26898619445322	0.0448723963133816	0.574151128549516
"Transcript_142756.0"	0.333224583475222	0.0897101775738919	0.576738989376553	6.42891369712771	2.68457498387272	0.0110380429063363	0.365296710953196
"Transcript_142809.0"	0.198304079680416	0	0.396608159360833	Inf	Inf	0.0417189048729151	0.554443026792109
"Transcript_142823.0"	0.445978275937225	0.0641148471595384	0.827841704714911	12.9118564792797	3.6906245425421	0.040314688583627	0.554443026792109
"Transcript_142861.0"	0.395972803421306	0.738748869727196	0.0531967371154149	0.0720092297874639	-3.79567435384212	0.0290868517445161	0.459942710721029
