"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pvalue"	"padj"
"Transcript_115015.3"	2.22038666475116	4.44077332950232	0	0.0831680757451629	-3.58782633691968	0.0394655236356634	0.999933927310508
"Transcript_11580.0"	156.35750480212	277.148486851742	35.5665227524981	0.156591014616425	-2.67492666348598	0.0116553465711834	0.999933927310508
"Transcript_116005.0"	2.34111199306744	4.68222398613489	0	0.0509128231251226	-4.29582712425765	0.0102852515947728	0.999933927310508
"Transcript_11602.0"	56.3213064760164	88.1468376098301	24.4957753422028	0.296420702560149	-1.7542818832833	0.0426910468818175	0.999933927310508
"Transcript_116200.0"	37.1280382276096	56.2253324170356	18.0307440381836	0.330295367792696	-1.59817135811093	0.0249264829189247	0.999933927310508
"Transcript_1165.0"	38.1645335452562	3194.4730879636	3.1347627618242	0.0958639930964764	-3.3828671548825	0.0308888959315055	0.999933927310508
"Transcript_116851.0"	27.2952407647471	47.3628988145755	7.22758271491875	0.185865279197161	-2.42767080396556	0.0411070103123497	0.999933927310508
"Transcript_117766.0"	22.8805861040633	37.8936544135034	36.435702554246	0.23307160190555	-2.10115486170274	0.0237531284198484	0.999933927310508
"Transcript_11834.0"	25.8405964743418	42.7835892260103	8.89760372267335	0.224881526243241	-2.15276294462956	0.0214136513594085	0.999933927310508
"Transcript_118625.0"	7.64232847860917	13.8447205406899	1.43993641652845	0.174924819143177	-2.51519309485325	0.0397030033397226	0.999933927310508
"Transcript_11892.0"	36.0909382794225	63.4503931222069	8.73148343663805	0.181749428240971	-2.45997726925811	0.0457811313932407	0.999933927310508
"Transcript_118922.0"	2.90489188477849	5.44358425204214	0.366199517514844	0.119963177630375	-3.05933645240579	0.0260744439651389	0.999933927310508
"Transcript_119201.0"	2.60178093641932	4.60817436382861	0.595387509010033	0.175319972328729	-2.51193773861697	0.0326930021661497	0.999933927310508
"Transcript_119456.0"	22.5308098702925	2.34682315475641	42.7147965858285	10.1801438707847	3.34768604531874	0.010810240605617	0.999933927310508
"Transcript_119534.0"	9.8842319240056	18.4469547916221	1.32150905638914	0.110503984916386	-3.1778296988865	0.0116356546699888	0.999933927310508
"Transcript_120950.0"	1.91482286786731	3.53783108385609	0.291814651878523	0.169816921917809	-2.55794786714775	0.0453749857129318	0.999933927310508
"Transcript_120951.0"	9.89749450288705	15.8963069134413	3.89868209233279	0.270565566855305	-1.88594984643753	0.0371805891157395	0.999933927310508
"Transcript_121266.0"	7.9026050016104	3.05846752913935	12.7467424740815	3.23039510615711	1.69171063019255	0.0379559514135958	0.999933927310508
"Transcript_12166.0"	2.16145645315588	39.5771112705402	69.9050665868997	4.79211572732308	2.26066274894871	0.0435253847853608	0.999933927310508
"Transcript_12196.0"	34.5820240718737	59.6398833137055	9.52416483004188	0.191012923320093	-2.38825784521751	0.0213964792471463	0.999933927310508
"Transcript_12207.0"	40.1570917175178	73.3708023193886	6.94338111564701	0.129982473914743	-2.94361098317853	0.0138568014793579	0.999933927310508
"Transcript_123025.0"	11.3598770475849	19.9359914739614	26.2967204262218	0.160483678007845	-2.63950151937502	0.0157727389384019	0.999933927310508
"Transcript_123671.0"	4.96882782452404	9.47172711010807	0.465928538940007	0.127080230408439	-2.97618848397882	0.0306908887673362	0.999933927310508
"Transcript_12369.0"	33.7235869383279	54.0471415748236	13.4000323018322	0.272274010342159	-1.87686881702257	0.0404203877479199	0.999933927310508
"Transcript_124014.0"	1.19938616765488	0.0732401337120397	2.32553220159771	8.05499013406703	3.00988282188761	0.0314284325760528	0.999933927310508
