Name	heart1	spleen1	lung1	colon1	liver1	kidney1	skeletal_muscle_tissue1	brain1	testis1	brain2	kidney2	colon2	liver2	lung2	skeletal_muscle_tissue2	spleen2	testis2	brain3	colon3	heart3	kidney3	liver3	lung3	skeletal_muscle_tissue3	spleen3	testis3
MGI:1298211	9.339	267.841	15.045	354.407	11.792	117.249	7.009	1011.03	233.08	1342.49	104.026	205.487	858.942	15.001	22.45	382.67	194.998	402.521	63.175	4.004	54.02	851.256	42.677	7.196	304.037	64.447
MGI:2681107	1	20.202	489.002	205.036	0	0	5	31.003	12.001	20	0	151	4	363	2	77	15	29.804	97.166	3	0	1	445.012	2.001	174.443	1.003
MGI:1917144	65	75	216	821	107	341	99	1101	163	1762	398	499	155	298	70	32	249	561	229	14	157	61	510	5	25	64
MGI:1914099	2645.49	4976.7	4421.12	4025.84	2345.85	3827.87	6215.11	6365.94	8119.03	6193.84	3887.47	1138.6	1382.88	4439.19	5606.94	3632.93	8009.39	2077.22	1179.9	1630.47	1069.38	670.213	14802.2	1898.19	4717.53	3586.91
MGI:1891307	1342.69	11541.2	3128.92	5364.49	3.041	5328.98	4112.62	3893.18	7173.75	5515.28	5051.26	2285.24	3849.9	4403.38	3564.13	9828.01	6870.71	1958.52	1747.07	699.062	1482.32	1419.24	10018.4	991.503	10907.3	2702.63
MGI:2154952	140	1515	210	2152	38	81	73	11	256	12	57	712	88	334	52	1700	98	1	660	132	32	28	760	25	2002	76
MGI:2443630	6.105	37028.1	389.562	593.217	2.084	36.824	10.052	1.003	21.729	12.078	40.248	532.234	70.076	1208.59	12.048	33883.2	22.324	2.006	359.105	13.064	9.659	2.014	1076.38	6.049	18766.6	5.461
MGI:5621884	1.001	19.457	0	0	0	0	0	0	7.006	0	0	0	0	0	0	5.006	6.006	0	0	0	1.001	0	1.001	0	6.005	1
MGI:104698	0	7	0	0	0	0	0	1	15.082	1	0	2	1	0	0	8	7	0	0	0	0	0	1	0	7.001	0
MGI:2446239	1493.37	1118.35	7622.77	273.058	274.152	8583.35	514.42	3323.62	1067.33	5655.04	6847.76	154.1	249.036	10909.9	835.335	886.62	929.456	2176.14	139.25	468.344	2738.23	74.863	22192.1	619.763	906.102	313.38
MGI:1202066	308.015	872.369	345.324	437.657	1978.13	382.247	368.859	309.773	284.189	128.007	188.969	157.904	322.228	72.556	61.781	352.828	109.58	69.883	108.585	137.84	206.499	155.354	463.376	94.932	1153.22	133.538
MGI:3704359	898.348	1040.34	300.823	1038.83	0	1425.14	1600.75	930.186	5363.07	1428.73	1157.72	790.816	1203.47	453.603	1940.67	757.354	5442.5	453.006	430.301	380.654	230.241	343.496	888.225	266.225	750.925	1753.39
MGI:1890496	465.799	2544.87	804.166	1716.13	11.706	2508.13	2305.65	1677.23	3002.14	2286.05	1604.39	485.282	1949.55	606.288	1110.98	2407.67	2133.02	922.619	584.406	228.104	947.278	840.407	2364.03	606.263	3150.82	1225.27
MGI:107188	36.271	827.532	72.921	576.408	5.618	5855.37	103.961	19646.1	1226.74	21555.5	4075.89	170.781	9.8	85.463	453.943	771.022	931.716	7381.28	174.46	29.386	1533.44	2.106	173.6	26.173	641.359	302.075
MGI:1931250	9	1606	248	553	0	26	2	2	21	0	40	521	27	391	4	1899	18	0	209	4	3	3	452	1	812	4
